,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,helpful_numerator,helpful_denominator,unhelpful,metric,classification
4825,A5GVRV7YFV85U,B0000862FI,"L. Haiss ""girly girl""","[1, 1]",i recently bought several wrap and fauxwrap dresses that could show off way too much leg if theres a slight breeze so i needed something a bit modest to spare the world a view of my blindingly white legs this slip works perfectly its beautiful and comfortable it also makes me feel a bit like a 40s film star women need to dress like this more oftenthe fit i ordered my bra size ive got that lovely pear shape going and it still fit perfectly over my hips id order more colors i got the black but theyre all out of stock bummer,5.0,Absolutely perfect!,1400025600,"05 14, 2014",1,1,0,1.0,1
4842,A1ICE8EQUKPMNH,B009EMAV9U,"Lisa C. Wolf ""Mrs. Wolf""","[0, 1]",what a beautiful watch just got it yesterday but very impressed by the product packaging and the beauty of the watch itself for the price i paid got it as a todays deal all i can say is wow,5.0,WOW!,1360627200,"02 12, 2013",0,1,1,-1.0,0
4852,A2P99LRDXBF8NF,B000922S8G,Celeste Thayer,"[5, 7]",these thigh highs come with a cute bow and are a nice midheavy weight good for say wintertime they arent quite opaque like it says in the title though which is why it gets an ok id say its mostly opaque if you can even have that as a concept and pretty good for most hosiery but you can see my calfmole through the fabric which is by no means opaque,3.0,Cute bow,1355356800,"12 13, 2012",5,7,2,0.42857142857142855,1
4853,A2D08QHYWACFVU,B000W5SAPK,hasteffen,"[2, 3]",my daughter needed this for a costume she  was pertending to be judge judy this gavel looks nice but is made out of plastic it was fine for her costume,4.0,looks real from afar,1304035200,"04 29, 2011",2,3,1,0.3333333333333333,1
4854,A2573NC8FK3XA3,B00C18EV0E,Ollyruss90,"[0, 1]",i just picked up the dress from the shipping company i use took it home and tried it on the dress fit perfectly at first i looked at it bought size small petite and thought wow looks too big but when i put it on it hugged me like a glove my only small concern is that for the boob area because even though im 5 ft 8 115 lbs i have size 32d boobs and they feel kinda squished but overall a really chic dress material feels costly and your confidence boosts when you wear it 603  603  603,5.0,Magic dress!!,1373587200,"07 12, 2013",0,1,1,-1.0,0
4855,A1VKKUCBHZ5J9O,B0098G7Q1S,Robert by the sea,"[0, 1]",i had high hopes about these shoes but after wearing them for 1 hour i developed pain in my left foot caused by lumps along the left edge of the inside sole midway  i could easily feel these lumps by running my index finger along the inside edge of the sole  i will be immediately returning these shoes because nothing can be done to remedy this defect,1.0,Pain caused by inside lumpy sole in left shoe.,1393027200,"02 22, 2014",0,1,1,-1.0,0
4862,A1CNUNCKIEQ1E9,B0085E311S,Amazon Customer,"[0, 1]",comfortable fit i have two in different colors the only issue is it comes up too high for tank tops so if your a tank wearer like me not the bravo to wear with it good minimizer and holds up well in the wash sturdy construction and comfortable,5.0,"Recommend for full shirts, but not not tank wearers!",1395100800,"03 18, 2014",0,1,1,-1.0,0
4863,A7PZTLUFORMVM,B000816LA4,Lealorali,"[2, 2]",these pantyhose definitely 34tighten34 things up but also make things bulge in some spots kinda uncomfortable but not too badi am 5634 135 and b was perfect for me,4.0,These are ok. Don't expect miracles,1359244800,"01 27, 2013",2,2,0,1.0,1
4864,AZ2FXSGN98MPA,B000B8C20W,"FredFloB ""me""","[1, 1]",i am a small woman with large breast this thing makes me look like a football player all over padded i order a 36 dd they send it but there is so much padding i look like there even bigger now really at my size do i need padding noif it was not such a big thing i would send it back just as it is i will never order this or anything from these peoplethese people will not take it back since i washed it i washed it since i am allergic to chemicals and would break out if this thing touched my bodyso fyi try it on or better yet do not buy it all together,1.0,I hate this thing!,1402876800,"06 16, 2014",1,1,0,1.0,1
4865,A3AY41U84YKSA4,B0002PNJT2,Roxy,"[1, 1]",i originally bought these tights to wear with a halloween costume since i figured i could get away with shimmery legs then  these arent glittery or obnoxious with shimmer they just give you gleaming sexy legs  seriously they looked better than i could have ever imagined  i ordered the toast which is a pretty deep tan color  i was a little worried they would be too dark because im fairly pale but i go tanning  they ended up being the perfect color but i may need the light toast for winter  i think you could get away with these during the day as well so im ordering more colors,5.0,Get these for gorgeous legs!,1351814400,"11 2, 2012",1,1,0,1.0,1
4866,A3RJ4OELQBBFF2,B000KXW528,John Taylor,"[1, 1]",i had a pair for several years and lost them in a move my old friends were quite comfortable for around the house and to take trash out etc little arch support and a tad small in size so get the bigger size warm to the point that my feet perspire  im getting another pair soona year later and still my favorites around the house and in the workshop,5.0,THE Best Slippers,1329609600,"02 19, 2012",1,1,0,1.0,1
4868,A12VONZYX7T19M,B000B55AFE,mamote,"[0, 1]",i enjoy this watch for what it is a cheaper watch that can be worn for yard work or swimming  this watch face is very small and the band width isnt quite 18mm so you cant really change the band out at any point  i didnt realize how small this watch face was  but it feels and looks significantly smaller than my timex easy reader,2.0,Tiny Watch Face,1376265600,"08 12, 2013",0,1,1,-1.0,0
4869,AZXA1OKY8T4OQ,B000QW6LE6,Nancys notes,"[1, 1]",i had a formal to attend this did help to give me a better waist it did roll on me a couple of times i think the boning needed to be stiffer,4.0,Works well,1361750400,"02 25, 2013",1,1,0,1.0,1
4870,A1JNP4K4H9SN8E,B000E9626I,RAP,"[0, 1]",i read the other reviews and i thought this would be the miracle polish not so it8217s an ok product but i went back to kiwi parade gloss,3.0,So So,1361750400,"02 25, 2013",0,1,1,-1.0,0
4875,A22LNLQ0X5ZN9Q,B0009IGYM6,"K. G. Anderson ""K. G. Anderson""","[0, 1]",the anita momentum bra is comfortable but it looked just awful without going into ugly detail i ended up with bulges under my armpits and looked completely droopy in front the bra has plenty of bulk but it doesnt seem to do anything in terms of shaping,2.0,Disappointing,1361664000,"02 24, 2013",0,1,1,-1.0,0
4878,A1IQMDY802I1MP,B007WATABQ,"Nelson Jos Olarte Prieto ""Columia""","[0, 1]",i got the dress for an friend of mine and she told me that she liked the material as the looks,4.0,Nice drees great price,1391990400,"02 10, 2014",0,1,1,-1.0,0
4886,A2JTH05N68E06F,B00DH2NP3M,Toya M.,"[0, 1]",these are a very cute shoei wore them for 4hours and half way thru my event they started to loosen and my feet were shifting around in them i would recommend going one size smaller may feel tight at first but trust me they will loosen up,4.0,A little shifty,1399420800,"05 7, 2014",0,1,1,-1.0,0
4894,A199HK4R2IR3T1,B000TGPTRO,"Jack Duncan ""Dusty""","[1, 1]",these are so comfortable thought i would never get out of my boxer briefs but have 5 pair of these now and love the feel so confortable my gf also loves me in them,5.0,Have bought multiple pairs,1312934400,"08 10, 2011",1,1,0,1.0,1
4896,AV75579NV909C,B00F0KT2WC,no one,"[0, 1]",oh boywe are very dissapointed with this item very chip madethey look some how i cannot explain not worth it,1.0,what can I say,1392336000,"02 14, 2014",0,1,1,-1.0,0
4915,A18YRSWGVSOVOZ,B000MX3O4E,Daphne,"[1, 1]",ive never bought a bra on the internet before so thought that i would give amazon a shot i knew that it was risky just seeing pictures instead of the real thing this bra is definitely made to fit the buxom woman the comfort is unbelievable so much so that a person can sleep with it on and not even know it i love this bra and highly recommend it,5.0,Comfort at last,1349913600,"10 11, 2012",1,1,0,1.0,1
4920,A3SM5U4J4U6XHV,B00012O12A,James Martin,"[1, 1]",pretty nice jeans they are very dark and the color does run when they are washed they definably fit larger than the 505s in 34range34 that i bought in the same size these sit at the waste not below i soaked them when i first got them and have washed and dried them a few times and they shrank some but are still bigger than the 505s in 34range34bottom line is these are levis and they are notoriously inconsistent you can find them almost anywhere i would just buy in store so you know they will fit ok,3.0,"Levi's 505 in ""Rigid"", good jeans for the money but fit is not consistent.",1396915200,"04 8, 2014",1,1,0,1.0,1
4925,A1SGAUAKPJMC0X,B0007T5JEQ,BELIEVER,"[0, 1]",highly recommend these shoes  the fit is good and it looks very good  very comfortable  recommend this shoe to anyone interested,5.0,Love it,1395187200,"03 19, 2014",0,1,1,-1.0,0
4929,A1I97QIESCUU8B,B006SRT02I,jem,"[0, 1]",my husband wears them throughout the winter they have held up well he is 6134 185 and muscular and he wears a large,5.0,Husband Likes Them.,1386460800,"12 8, 2013",0,1,1,-1.0,0
4930,A2MP25A1IBO2SC,B000DZUGOM,momof3,"[1, 1]",i am surprised by all the glowing reviews for these flip flops  yes the are comfortable but they are also very utilitarian looking i was expecting something a bit cuter and more graceful when i ordered them  instead they just look like unisex black flip flops no feminine characteristics at all  the strap proportions and styling are just like my husbands and my sons sanuks  i love the gingham check inside the straps but it is invisible when the sandals are on your feet  i wasnt looking for something girly but i was surprised that these flip flops lacked all feminine flairalso and more importantly they soak up water like a sponge and take a long time to dry out  this isnt practical for flip flops other reviewers have also noted this but i didnt read carefully before i ordered,3.0,flip flops soak up water like a sponge,1404172800,"07 1, 2014",1,1,0,1.0,1
4938,A2OO8ZM1FLWL2W,B00E1JPW0E,corinati,"[0, 1]",this looks amazing on my high school daughter  shes very into the flowy shirts and this is one of her faves  weve bought a lot of allegra k stuff lately and not one of them have had a problem  loving it,5.0,LOVE this shirt!!,1383782400,"11 7, 2013",0,1,1,-1.0,0
4940,AY2IS4JBSIDAE,B000QW6LE6,J. Ochalek,"[8, 9]",626262 finally something that really works no gimmicks no exaggerations it does work and im so happy that i found this product after so many fails with other brands and products626262this is my case im 5334 size 4 or 6 in clothes or medium in others sometimes i can even wear small depending on the brand my waist is 3334 hips 3834 i cannot provide a weight because i dont weigh myself its depressing and frustratingso after i measured my waist i looked at the chart provided by the manufacturer it said that i had to buy a medium size squeem even when it said that my regular clothes size was 8 or 10 dont pay attention to that but to your waist size in inches that will give you the perfect size you have to buy or else youll end up buying a size too small and will find it impossible to wear or even painfuli thought i could fit in a small size but the reality was that my waist belongs to a bigger size so i ordered the medium as the chart saidit fits perfectlyas soon as i took it out of the box i stood in front of the mirror and tried to close it big mistake i couldnt even fasten one hook because it felt so tiny and impossible to close until i remembered what another user wrote so i followed her advice i laid down on my bed and started to fasten the little hooks starting at the very end then i fastened one in the middle and one at the very top after that fastening the others was easier not as easy as sliding a spanx camisole on top of you it took me a couple of minutes but the results were outstanding when i stood up and looked at myself in the mirror i saw a waist yes a beautiful hourglass figure and a smaller waist 2 inches smaller on the first row of hooks itll be  even smaller once i can advance to the 2nd row so instantly i lost 2 inches on my waist everything looks flat even uniform smooth no bulges no muffin top no rolls no belly that looks like a bread dough just a beautiful figure instantly i didnt know if i wanted to cry or what i wasnt expecting immediate results or results this noticeable im used to the mild support and notsonoticeable results the spanx line has given me  i owe two camisoles and tried 2 different bodysuitsto test the comfort of my squeem i decided to take a 30 minute walk wearing it lol so i walked to the office wearing it i felt a lot of support in the tummy lots of support for my back as well my posture improved immediately the way i breath changed as well im not used to have any support on that area so it felt different like i cannot take big long gulps of air no problem tho it felt comfortable not 34wearingsweatsand nobra34 kind of comfortable but not restricting at all quite the opposite the support and pressure on my middle region makes me feel and look better lighter and slimmer the squeem covers all the way from under my breasts to my hips it covers my hip bones so theres no chance of muffin tops squeezing out of the piece its a flatten surface all over my middle sectionthe material is rubbery it does have a smell rubber but it didnt bother me unless i tried to smell it im sure itll go away once i wash it ill update on thatthe interior is covered in soft fabric it doesnt feel hot or sweaty and i took it for a walk but i dont live in a hot region so i couldnt tell you how this works in humidhot cities the first day i wore it for 5 hours straight at the office after 30 minutes walking outside i did sweat because my tshirt showed some wet spots but the squeem didnt bother me at all no wet or cold feeling no heavy or slimy eitherso this is my take on this product i have tried other shapewear most of them give you some results mostly smoothing the rolls and keeping the muffin tops at bay or other nicelooking but mild results what this squeem does is it takes inches from your waist and belly instantly it makes your belly look  completely flat and gives you support for a better posture it gives you an hour glass figure in minutes put it on 62boom62 you have a waistyes its way more restrictive than other brands shapewear it has a rubbery smell its more difficult to put on it may show the little hooks through your tshirt if you are wearing very tight thin tops but none of that matters for a simple reason this actually gives you what all of those other brands are promising but cant deliver this truly gives you an instant very noticeable thinner and beautiful middle sectionill update this review in a couple of weeks to let you guys know how does this product works in the long run,5.0,THE REAL DEAL!! :D :D,1401840000,"06 4, 2014",8,9,1,0.7777777777777778,1
4943,A9J5SLYXUCWO1,B0007CKOFM,"Gwendolyn Norcross ""gardenia""","[0, 1]",it turns out that these are just right when out of the dryer but after an hour my husband must wear a belt with them  i found a pair of 36x32s that actually fit perfectly wranglers in his drawer under a stack of 34x32s that are too small  im ready to make a donation to a church thrift store with his old pants and shirts that are too small and face it we dont ever lose that weight we say were going to and if we do then we can buy some new stuffi bought these to replace an old raggedy pair of jeans that i believe are dickies that he likes because they have a lower pocket on the right leg that holds his cell phone  i believe they must be painters pants  well too bad out they go into the trash  i will have to find out the size and style of those and order them  meantime these jeans are fine and look good on him,5.0,Good Looking Jeans,1372464000,"06 29, 2013",0,1,1,-1.0,0
4948,A27S1TCQB5EDGW,B000EG6FAE,"BIG LOU ""BIG LOU""","[0, 1]",box and shoe state 95 2e but fit like a 95 di couldnt get my foot in half way tbe material itself looks like it was worn out faded i am returning the shoes today for ill full refund,1.0,Not a good fit,1373241600,"07 8, 2013",0,1,1,-1.0,0
4950,A39UPDSLCBE30W,B000FAWKJY,Katya,"[1, 3]",they are very good quality shoes and very cute however i have wide feet and they did not seem wide enough i order the cd width which works with 90 of other shoes  also even though i ordered the right size and they seemed okay lengthwise while standing still they came off of my heel with every step i took i had to return themi love other naturalizer shoes and own many but these were not for me,3.0,Disappointed,1363737600,"03 20, 2013",1,3,2,-0.3333333333333333,0
4957,A15BCH9AYL7PD5,B0009JQZOC,rob eaton,"[1, 1]",after my last two shirts by 34russell34 34pilled34 themselves to death this shirt by jerzees seems to be a solid sweatshirt heavy and durable that being said the cuffs are loose with very little elastic and wont stay pushed up well ill keep on wearing it until i find a good sweatshirt that doesnt 34pill34 with proper cuffs,3.0,It's Okay,1361145600,"02 18, 2013",1,1,0,1.0,1
4961,A3C56T9WIBAVDP,B00DMWQKWA,Wanda Gregg,"[0, 1]",ive worn this once since ive gotten iti only wear it with my rue 21 jeans because it matches the lining on my back pockets,4.0,Beautiful necklace,1380931200,"10 5, 2013",0,1,1,-1.0,0
4966,A28THREVUUMBZ3,B000EX451I,"Valerie Dean ""food critic""","[15, 17]",well made utterly comfortable gives me the opportunity to earth be right on the ground not removed by a rubber sole i bought two pair since i like them that much highly recommend,5.0,THE BEST!,1303516800,"04 23, 2011",15,17,2,0.7647058823529411,1
4968,A3OR75LTRPTS67,B00AB0AX4C,A. Griffith,"[0, 1]",it is important to me that i have a slim neat wallet that is able to hold my cardsthis comfortably holds the 8 cards i carry including my drivers license  i am also able to put a few bills in the centerthis exceeded my expections and i am able to discreetly carry my wallet in my front pants pocketif you are looking for a slim wallet that can hold more than just a few cards this is for you,5.0,Holds plenty of cards and room for cash in the middle,1371859200,"06 22, 2013",0,1,1,-1.0,0
4979,AIZRVP9DGQJC7,B000CO86KK,KOHIO,"[1, 1]",i ordered the bra in my regular size 34g and its far too tight the bra really digs in on the sides and was extremely uncomfortable my breasts also squeezed out of the top a bit creating the dreaded quadraboob the style is great if youre looking for a tshirt bra but thats only true assuming you can guess the right size,2.0,Size not as expected,1392163200,"02 12, 2014",1,1,0,1.0,1
4980,A2LBGF515H9CU3,B003JJ5AUE,Brad,"[0, 1]",i guess its the shape of my foot i usually have to get custom shoes and boots but these things did not fit my feet well well built otherwise,3.0,Just didn't work for me.,1386806400,"12 12, 2013",0,1,1,-1.0,0
4998,A393JMFL7XG4PM,B005VNFCZO,S. C.,"[0, 1]",ive been trying to find a high impact sports bra for really large cup sizes my friend has this one and told me it ran big so i decided to give it a try it does not run big it seemed to me to be right about a real gg im disappointed that it doesnt come in bigger cup sizes because it seems to be a very stable and well made bra,4.0,If you can get the sizing right it seems very stable,1398643200,"04 28, 2014",0,1,1,-1.0,0
5016,A3OKFMIBNXNDPK,B003XT92YU,Great,"[0, 1]",i love this dress it is a very simple casual dress the colors are mild and classy the fit is great,5.0,Satisfied,1324771200,"12 25, 2011",0,1,1,-1.0,0
5019,A1420FVBWTDENC,B000AN0642,Samantha,"[1, 1]",i wear flats all day everyday and it is difficult to find a pair that remains comfortbale for 10 hours  these are a fun color and can be dressed up or dressed down  i wear them to run errands and to work  fit great and very stylish  i highly recommend,5.0,Love,1395014400,"03 17, 2014",1,1,0,1.0,1
5022,A1HMKOIJBK20HE,B007PJ8146,Julia Beckley,"[0, 1]",when i first saw this i thought it would be so convenient to have a shoe sizer at home  then i realized that its also a keepsake  you simply take a sharpie and mark off the tallest part of the foot and then write the date or age of your kid  thats when i knew i had to buy this product  yes its a little pricey for a simple shoe sizer but since its a memento that you will be keeping i think the price is well worth it  i am buying a pink one for my daughter as well,5.0,Useful and a Memento - Win Win!,1359590400,"01 31, 2013",0,1,1,-1.0,0
5024,A27JMU4CHS8MM0,B000UXKZ20,Indiana girl,"[2, 2]",im a plus sized lady so its difficult for me to find lingerie that fits well and looks good this does both  my fiance loved them  the material is a little scratchy but they were still comfortable,4.0,"Nice fit, looks good.",1363392000,"03 16, 2013",2,2,0,1.0,1
5027,ABM6Z3LYPOCD3,B000UPVCPW,"Lolla Belle ""Lolla Belle""","[4, 5]",my boyfriends eyes nearly popped out of his head when i wore this  it was as comfortable as lingerie can be after a quick hand wash  it really hugs everything and im not a big girl  the lacy material is fairly delicate but im pretty sure this type of clothing isnt meant to last through a hike in the woods necessarily  for the price 10 when i bought it its a great little piece,5.0,Hot little number,1321401600,"11 16, 2011",4,5,1,0.6,1
5028,AK936V28HVQS4,B0000C321X,Alexis Lira,"[0, 1]",the material is too hard shrank after washing do not meet the stated features i do not recommend purchasing this bluejean sorry i wasted my money on this product and the worst is that nobody is responsible for the poor quality of the product and deception suffered lo useacute una sola vez y luego lo tuve que desechar se encogio tanto que no puede volver a usarlo,1.0,The worst jean than someone can buy,1259798400,"12 3, 2009",0,1,1,-1.0,0
5039,A1U8VI6I2MFEU8,B0000ZBSGU,"Mona Lisa ""M.W.""","[2, 3]",ive been buying this bra for many years  however it was about 4  years ago when i bought the last one  this new one just doesnt seem like the same quality that it used to be  i ordered two wacoal bras  they are both made in two different places  this one is made in dominican republic  the other one in china  the one from china seems like the old  wacoal quality and worth the money  this one does not  and it certainly in my opinion isnt worth what it cost  the cup fabric looks as if it would wear out quickly to me,3.0,"Ehh,,,,",1282176000,"08 19, 2010",2,3,1,0.3333333333333333,1
5043,A2G5TCU2WDFZ65,B000UTTKG6,Amazon Customer,"[2, 2]",i love this boot for two reasons the fit and the fit i bought the wide width because i have issues when buying shoes due to a slightly wide foot i also love this boot because i also have wide calves very annoying when wanting to wear boots however this boot hits right below my calf  it has stretch so no problem yeah the heel is not to high so i can wear to work without killing myself walking around and its not a skinny heel either so you are less likely to wobble it also has a rubber sole so you wont go sliding around on tile floors and falling on your fanny as you can guess im not very graceful by my comments here anyway i love these boots and would get another pair in a heartbeat also the price was really good,5.0,Love this Boot!!!,1321574400,"11 18, 2011",2,2,0,1.0,1
5046,A2754UKBN6HW0E,B000P52ZZI,"Howard ""Winker""","[7, 8]",if you are tired of those old style shorts that let some stuff hang out get these very comfortable and seem to be sized just right,5.0,boxer shorts,1212796800,"06 7, 2008",7,8,1,0.75,1
5051,A1ESDW5VX6B73Q,B000AOMDFG,"Amazon Customer ""I'm a little fish in a mediu...","[1, 1]",fun stockings to wear even just to work it feels so sexy wearing something crotchless and naughty too sometimes they get a little confusing to put on esp after washing them lol,5.0,A++++++++++++++++++,1375747200,"08 6, 2013",1,1,0,1.0,1
5053,A1DXV3S3UAXO8I,B000ECXZHE,Tasha Worthington,"[1, 1]",all swim diapers are designed to let liquid including urine go through them so yeah it wont contain pee but no swim diaper will  this one does fit snuggly though so it will hold poop in until you can get out of the pool thats the only purpose of a swim diaper but i like this one more than the other reusable swim diapers because it has the snaps on one side making it easier to get off of a squirming wet baby withou spreading the mess  we love it and use it under his swim trunks everytime we go to the pool and have never had an issue,5.0,Works well as a swim diaper,1368662400,"05 16, 2013",1,1,0,1.0,1
5062,A27B7UK84B5LDS,B00AFBCOXA,Myloathome1313,"[0, 1]",my pandora bracelet is 79 inches and i am going to need an extension soon as the charms take up the slack  i should have ordered a 910 inch length  do you sell extensions,5.0,Genuine Pandora Bracelet,1392940800,"02 21, 2014",0,1,1,-1.0,0
5068,AIO4NTQMHDPIA,B00295RJIU,Nicky Genrich,"[0, 1]",this shoe is great when walking the arch support works extremely well but it is very very painful for standing i work at a vet office and we stand alot it makes my feet feel tired and achy real fast if i  dont sit down or start walking they got returned,2.0,Timberland Shoes,1316217600,"09 17, 2011",0,1,1,-1.0,0
5069,A6XDOE6RJAB47,B008BCXLK0,jef,"[0, 1]",looking for a simple gym bag was hard to find stumbled upon this product and ordered it for my son to use  for his flag football stuff after showing him a picture he said he didnt want it so i tryed to cancal order order came anyway and that was a good thing cause after receiving it he tried it out and loves it it holds his change of clothes and shoes great those  pockets were good for his mouth piece and cell phone so go ahead try it and see for yourself that this gym bag is a good choice,5.0,gym bag,1395100800,"03 18, 2014",0,1,1,-1.0,0
5070,A1V1R1JHIOMGH7,B0098G7Q1S,Anabueno,"[0, 1]",because the quality as not what i expected it seems that it wont last much nike is supposed to last mt husband is saving because he doesnt think they are strong enough a little bit regreted,3.0,Good but not great,1394064000,"03 6, 2014",0,1,1,-1.0,0
5073,A27AJ2LMMM6NFV,B000ILEKUM,wrinkled radical,"[1, 1]",i have oregonian feet  long  very skinny  these fit great  i am wheel chair bound  use my one good foot to propel myself with on my hard wood floors i needed socks that i could wear to bed  use in the wheelchair  these are perfect  doctors tell you to wear toed socks or shoes as when we age our toes get squished together  need to be spread back to normal position  so these fill all my elderly needs  hard to bend over  put them on but so is any sock or shoe,5.0,Perfect for skinny woman's foot.,1386374400,"12 7, 2013",1,1,0,1.0,1
5076,A33ZYFE8XMKKR1,B000E7DR1S,"P. Scott Pope ""Scott Pope""","[1, 1]",better than traditional tighty whities that women complain about these underwear are great for the gym with dress clothes or just casual use the band is more comfortable than alternatives,5.0,"Comfortable, good for extreme workouts",1372377600,"06 28, 2013",1,1,0,1.0,1
5084,A3H8288VHL1607,B003AU5VZ6,Nicole Brown,"[0, 1]",the material of the soffe running short is not what is used to be ordered several pairs and it was a pretty rigid material not the same material as the militaryissued shorts that marines use for running they were also huge have about 6 pair of large in the former material and order the same but was swimming in these larges,2.0,Material Has Changed,1385424000,"11 26, 2013",0,1,1,-1.0,0
5086,A3C1QEGB0STWU3,B000CLIO9Q,Circlejay,"[3, 3]",these shorts fit great they have 9 belt loupes i like that  they are color fast and do not shrink they have extra pockets with snaps they a greatbuy,5.0,Ripstop shorts,1379462400,"09 18, 2013",3,3,0,1.0,1
5089,AA9BZ5Q8O22RL,B0047EXQF6,"Faith Page ""Silent Witness""","[0, 1]",these pajamas were very nice quality pretty pattern and easy to care for  the fit was exactly right and they arrived in a short time,5.0,Pretty and practical.,1392336000,"02 14, 2014",0,1,1,-1.0,0
5101,A2VK66B4JUVEZI,B0016BGZB0,"Carla D. Olson ""rockluvr57""","[0, 1]",these were pricey for surebut out of the 3 different high end brand slippers just read tips  it says i can include brands i bought 2 brumbys 3 bear paws of different styles  these emus6 slippers in all  bought for grand kids for christmas  1 for myself these brumbys are by far the nicestsoft beautiful elegant even  very comfortablemuch nicer than the others i bought one of the bearpaws i bought are already falling apart  my granddaughter that is wearing them never wears them outside the house  is a delicate girl the bearpaws that isanywaythese i will buy again for surethese i want for me,5.0,best ever slippers,1395964800,"03 28, 2014",0,1,1,-1.0,0
5106,A2AIQYXKN9V80L,B000FGYUNW,BD King,"[1, 1]",this is a cool cap but it cannot be sized larger than medium at least the one we got  i gave it to my grandson who loves it,3.0,"Nice cap, but sized too small",1360627200,"02 12, 2013",1,1,0,1.0,1
5110,A27ZE9MIUI455B,B0009B3IN6,"Lynn A. Cathey ""lynn""","[1, 1]",these are for my husband and he loves them he has had several before they give him the most comfort for our walks,5.0,total foot comfort,1367971200,"05 8, 2013",1,1,0,1.0,1
5124,A174NIAQKP9H1T,B00BZDO09S,Lauren Knaggs,"[0, 1]",this product is a little bit of a more shiny material than it looks in the photos but it definitely fits well and the fabric is nice and silkysoft so it is comfortable to wear,5.0,great for everyday pool or beach,1386633600,"12 10, 2013",0,1,1,-1.0,0
5128,A34VKI5BH6LWA,B000FPX5Y8,Victor Espinal PEREZ,"[0, 1]",this watch is a great equipment for mtb im a mountainbiker and i used it for locations view and altimeter it is easy to use it and confortable,4.0,Great for MTB,1275264000,"05 31, 2010",0,1,1,-1.0,0
5134,A2GP4EJIAA2OE0,B00CAA5KEE,ShoeHeaux,"[0, 1]",they are simple and ordinary pretty close the picture but they do look a little cheaper its difficult when purchasing red things so its a gamble i waited way too long for the delivery and was overall disappointed by them but hey im gonna make it work,3.0,quality okay but hey they're cheap,1375660800,"08 5, 2013",0,1,1,-1.0,0
5135,A376PAG9DYHAO0,B000NZW3J8,N. Luchsinger,"[4, 5]",i purchased this with some skepticism about the claims made by other reviewers  i have since found that all of these claims are true and more  of note gives you strength that would be the envy of even samson hercules zeus etc increases your sexual appeal warning this applies to all living creatures not just your gender of choice causes significant amounts of hair growth possibly a downside for some maximizes your workoutsnb as a good amazonloving reviewer i should note that everything i have just said is false this shirt exists purely as an ironic injoke for the internet culture crowd you should buy it,5.0,"Yes, a thousand times yes!",1266624000,"02 20, 2010",4,5,1,0.6,1
5136,A1Z2081MDWOABE,B000H9C4H6,Kelly Strong,"[1, 1]",so far so good i purchased this to go under my aline wedding gown as most reviews stated this showed up literally vacuum sealed and rolled up no wonder other ladies were complaining about it not preforming after reading the reviews i knew what to expect and cleared out all items from our coat closet the moment i opened the package to give this beauty some space to breathe i tried it on it fit great perfect length great drawstring then i immediately took it off hung it up and began poofing and working with the netting every few days i open the coat closet and fluff it more the longer it hangs the better the shape and poof gets with this product you need to have patience and order it early so it has time to return to the proper shape havent tried it on with the wedding gown yet my first fitting is in december as long as the petticoat works with my gown i will be one very pleased camper,4.0,So far so good! Wait and see...,1383868800,"11 8, 2013",1,1,0,1.0,1
5141,A2J8289OOT5DE4,B000KKQ2UW,C. Klaassen,"[1, 1]",i picked these up on sale to use running around the house and while standing cooking i have plantar fasciitis in one foot and brotherinlaw ortho told me to start wearing shoes around the house i typically wear between a 9 and a 9 12 and noted that others said to size up so i went with a 9 12 the sandal is barely long enough if i didnt hate to return things i probably would have exchanged them for a 10 which i never need to do as for width you had better have narrow feet or these will not fit you i have the skinniest feet you have ever seen and these fit perfectlyas for comfort well the sole is comfortable but the floral strap over the foot around the great toe is not very comfortable i am hoping that it softens with time and wear long story short if i tried these on in a store i would not have purchased them but since it is a hassle to send them back and i got them on the cheap side i will keep themnot recommendedyes that really is how it is spelled  lol,3.0,Cute but run very narrow and small,1376352000,"08 13, 2013",1,1,0,1.0,1
5147,A2CWUM49ZWMGEY,B00CFIB3SS,Clubbby,"[0, 1]",as other reviewers mentioned these are very light commuter gloves enough to keep the bite of the cold away but if you live in an exceptionally cold climate you will probably be disappointed as for the touchscreen capability i would describe it as decent theres some loss of responsiveness but very littlethe thinness of them that i originally described is also an upside i think since they arent bulky you still have a lot of dexterity in your fingers which you lose with bulky gloves and you can keep them on indoors like say going in to a store without them getting oppressively hot,4.0,Good light gloves,1388880000,"01 5, 2014",0,1,1,-1.0,0
5149,A3SVDAMCPNXNAG,B0058FQLVO,DesignGirl,"[0, 1]",this is a polyester nightmare some polyester dresses look quite nice i thought this would be a great dress for summer days but the fabric looks more like my grandmothers old polyester pajamas than a modern attractive fabric too bad i missed the window for returns id donate it to goodwill but feel guilty that some poor person would have to shell out 7 to buy it so instead its going to a pile of fabric for my nieces to use for dress up,1.0,Ick! So cheap looking!,1389744000,"01 15, 2014",0,1,1,-1.0,0
